price,floors_in_the_house,floor,house_type,number_of_rooms,total_area,deadline,distance_to_nearest_metro,distance_to_center,distance_to_mkad,distance_to_green_areas,distance_to_sports_complexes,distance_to_industrial_enterprises,distance_to_treatment_facilities
83607928,51,50,монолитный ,3-комнатные ,177.8,4 кв. 2020 года ,700,10388,-4555,1568,658,873,6752
26850000,15,3,монолитный ,3-комнатные ,96,-,600,6441,-9520,1556,1700,515,8772
9833276,15,6,монолитный ,3-комнатные ,76.9,4 кв. 2020 года ,600,23867,5436,1892,1134,5066,4984
10149230,15,4,монолитный ,3-комнатные ,79.3,4 кв. 2020 года ,600,23867,5436,1892,1134,5066,4984
10530484,15,4,монолитный ,3-комнатные ,82.3,4 кв. 2020 года ,600,23867,5436,1892,1134,5066,4984
10376959,15,4,монолитный ,3-комнатные ,81.1,4 кв. 2020 года ,600,23867,5436,1892,1134,5066,4984
41560000,9,4,монолитный ,3-комнатные ,121,сдан ,600,4100,-12380,962,1321,214,5041
28484856,56,40,монолитный ,3-комнатные ,165.6,сдан ,800,9614,-6739,618,661,1490,6290
104942132,7,3,монолитный ,3-комнатные ,122.9,сдан ,400,2090,-13767,748,720,380,6838
23914931,56,40,монолитный ,3-комнатные ,138.7,сдан ,800,9614,-6739,618,661,1490,6290
13698500,28,3,монолитный ,3-комнатные ,101.1,сдан ,1400,13622,-3773,916,264,449,7161
106250249,13,6,монолитный ,3-комнатные ,166.6,сдан ,1000,3492,-11147,494,307,879,4019
21806000,31,16,монолитный ,3-комнатные ,103.6,сдан ,1100,8004,-7806,1943,2170,1390,2242
34057800,9,3,монолитный ,3-комнатные ,107.1,3 кв. 2020 года ,700,10029,-7233,71,794,716,7060
22453500,22,12,монолитный ,3-комнатные ,129.5,сдан ,1000,5449,-8563,727,127,601,11387
48413404,5,1,монолитный ,3-комнатные ,98.6,сдан ,600,1271,-12843,525,1548,926,7576
19680000,14,3,монолитный ,3-комнатные ,82,2 кв. 2020 года ,700,6411,-9004,827,385,1312,227
50818000,11,3,монолитный ,3-комнатные ,97,3 кв. 2021 года ,500,3988,-10829,380,870,967,4617
12800000,19,6,кирпичный ,3-комнатные ,90,-,10100,27532,9288,3248,2391,1590,17480
21789300,18,5,кирпичный ,3-комнатные ,98.2,4 кв. 2020 года ,1700,5716,-8574,444,472,279,11952
35198583,20,8,монолитный ,3-комнатные ,120.7,сдан ,800,8905,-7397,1061,588,2300,3264
239259000,5,3,монолитный ,3-комнатные ,254.1,2 кв. 2020 года ,700,1364,-12629,342,834,1478,7768
9025418,23,13,монолитный ,3-комнатные ,68.9,4 кв. 2020 года ,700,20351,6092,2097,1178,3508,21837
7506824,15,15,монолитный ,3-комнатные ,59.2,1 кв. 2022 года ,1000,20432,6216,2346,1393,3624,22021
16087918,36,3,монолитный ,3-комнатные ,75.5,3 кв. 2021 года ,1100,7663,-8141,2006,1843,1113,1887
23840486,8,8,монолитный ,3-комнатные ,144.9,-,500,12958,-4719,468,886,1278,3948
10806137,6,5,монолитный ,3-комнатные ,83.5,3 кв. 2021 года ,2100,22788,4136,1772,1755,4583,3653
84920000,12,12,монолитный ,3-комнатные ,98,1 кв. 2021 года ,500,4004,-10822,392,843,985,4639
13400000,16,1,панельный ,3-комнатные ,81,4 кв. 2020 года ,1300,18079,930,1234,583,372,11158
18678862,35,33,монолитный ,3-комнатные ,77.9,1 кв. 2021 года ,1100,10793,-3951,2057,864,1445,6415
77171347,9,2,монолитный ,3-комнатные ,111,сдан ,800,1890,-12097,421,1009,1293,8299
33447944,20,3,монолитный ,3-комнатные ,106.8,сдан ,800,8905,-7397,1061,588,2300,3264
13486300,23,14,монолитный ,3-комнатные ,78.5,4 кв. 2021 года ,700,13084,-4460,827,1386,1002,4392
15729700,33,32,монолитный ,3-комнатные ,97.7,4 кв. 2020 года ,1500,14693,1622,383,1342,729,2319
31961360,19,15,монолитный ,3-комнатные ,132.4,сдан ,1000,3835,-11990,973,808,205,3849
11580850,20,9,монолитный ,3-комнатные ,75.9,3 кв. 2021 года ,500,18489,3152,849,623,1739,1616
10239359,14,4,монолитный ,3-комнатные ,73.2,1 кв. 2021 года ,2100,22082,3470,977,1835,4994,4604
33500000,18,11,монолитный ,3-комнатные ,107.3,сдан ,800,7914,-9200,963,903,464,2207
28500000,20,9,монолитный ,3-комнатные ,101.7,сдан ,2100,10904,-4789,1136,432,611,4018
10020560,25,11,панельный ,3-комнатные ,88.3,сдан ,700,20866,6562,1855,1538,3136,22175
10127026,25,11,панельный ,3-комнатные ,80.7,сдан ,200,20333,6005,1585,965,3020,21590
7568530,23,23,монолитный ,3-комнатные ,59.3,1 кв. 2022 года ,1000,20520,6305,2361,1470,3565,22106
50500000,9,5,монолитный ,3-комнатные ,84.5,сдан ,800,1890,-12097,421,1009,1293,8299
18495066,15,2,монолитный ,3-комнатные ,89.1,2 кв. 2021 года ,1200,12075,-3113,1196,673,606,3572
24736428,12,2,монолитный ,3-комнатные ,99.8,4 кв. 2021 года ,1300,4321,-11219,667,289,638,7167
34515000,44,43,монолитный ,3-комнатные ,88.5,сдан ,800,3997,-11783,953,734,441,3612
26823260,56,32,монолитный ,3-комнатные ,145,сдан ,800,9614,-6739,618,661,1490,6290
28175238,56,32,монолитный ,3-комнатные ,167,сдан ,800,9614,-6739,618,661,1490,6290
23711465,56,32,монолитный ,3-комнатные ,140.2,сдан ,800,9614,-6739,618,661,1490,6290
27594264,27,2,монолитный ,3-комнатные ,115.1,4 кв. 2021 года ,1200,4347,-11146,681,309,670,7224
20900000,20,12,монолитный ,3-комнатные ,80.8,2 кв. 2020 года ,700,5978,-11981,316,557,585,4732
10863429,15,2,монолитный ,3-комнатные ,87,4 кв. 2020 года ,600,23867,5436,1892,1134,5066,4984
27348720,20,10,монолитный ,3-комнатные ,105,2 кв. 2020 года ,2000,10944,-4755,1014,448,570,4153
8332800,26,8,монолитный ,3-комнатные ,74.4,2 кв. 2021 года ,2400,12522,-3168,2890,1345,3161,7067
45900000,19,9,монолитный ,3-комнатные ,100,сдан ,1000,6726,-8979,1540,1011,649,883
135500000,4,3,монолитный ,3-комнатные ,129,2 кв. 2020 года ,700,1368,-12625,335,825,1475,7771
56050000,6,2,монолитный ,3-комнатные ,150,сдан ,600,4099,-12393,952,1333,199,5060
57609000,6,4,монолитный ,3-комнатные ,223.9,сдан ,600,4046,-12402,931,1345,210,5013
62344032,5,2,монолитный ,3-комнатные ,126.5,сдан ,500,802,-13372,295,1711,1089,7047
11923570,6,2,монолитный ,3-комнатные ,100,3 кв. 2021 года ,2100,22788,4136,1772,1755,4583,3653
7311552,8,1,монолитный ,3-комнатные ,64.8,2 кв. 2021 года ,7600,28819,12628,2050,4912,5482,11581
17348218,29,22,монолитный ,3-комнатные ,99.5,2 кв. 2022 года ,1900,12523,-2465,1018,713,1310,4318
11749700,26,4,монолитный ,3-комнатные ,70,-,400,12283,-5411,1039,816,1236,4028
11199000,18,5,монолитный ,3-комнатные ,63,3 кв. 2021 года ,1600,14142,2334,498,1634,1028,5603
12000000,17,2,монолитный ,3-комнатные ,80.8,сдан ,7481,35676,17209,3014,1645,3605,27142
12210984,23,17,монолитный ,3-комнатные ,75,4 кв. 2021 года ,400,18611,3361,624,1045,1604,1524
13157538,14,13,монолитный ,3-комнатные ,80.2,3 кв. 2021 года ,500,18489,3152,849,623,1739,1616
13684388,14,13,монолитный ,3-комнатные ,75.9,3 кв. 2021 года ,500,18489,3152,849,623,1739,1616
14246344,19,14,монолитный ,3-комнатные ,75.9,4 кв. 2020 года ,600,18529,3179,975,497,1728,1719
12908980,14,11,монолитный ,3-комнатные ,86.2,3 кв. 2021 года ,500,18489,3152,849,623,1739,1616
13136827,26,17,монолитный ,3-комнатные ,76.4,3 кв. 2021 года ,400,12273,-5431,1046,797,1266,4005
20746150,20,8,монолитный ,3-комнатные ,87.4,4 кв. 2021 года ,500,6650,-9360,1517,1481,475,8550
9587219,16,2,монолитный ,3-комнатные ,77,4 кв. 2020 года ,1100,20746,3492,2264,2567,1012,4917
64781840,9,2,монолитный ,3-комнатные ,98,сдан ,800,1890,-12097,421,1009,1293,8299
12500000,4,3,кирпичный ,3-комнатные ,86,1 кв. 2021 года ,1900,17014,432,688,1516,2071,2670
9881834,16,4,монолитный ,3-комнатные ,76.4,4 кв. 2020 года ,1100,20746,3492,2264,2567,1012,4917
10111072,16,13,монолитный ,3-комнатные ,74.2,4 кв. 2020 года ,1100,20746,3492,2264,2567,1012,4917
56040239,11,2,монолитный ,3-комнатные ,130.7,4 кв. 2021 года ,300,10796,-4215,1400,301,904,6353
55710945,11,4,монолитный ,3-комнатные ,131.1,4 кв. 2021 года ,300,10796,-4215,1400,301,904,6353
55533731,11,2,монолитный ,3-комнатные ,137.3,4 кв. 2021 года ,300,10796,-4215,1400,301,904,6353
64494051,11,7,монолитный ,3-комнатные ,129.9,4 кв. 2021 года ,300,10796,-4215,1400,301,904,6353
